active_steps,esc_on,final_er,finite,max_Mz,max_cmd,min_Fz,mz_flips,name,peak_ay,peak_beta,peak_er,peak_r,util_peak,vx0
0,False,0.0,True,0.0,0.0,2224.89380733803,0,step_steer_vx15.0_d0.08_OFF,5.825627243256685,0.026944256825112478,0.0,0.4088849797465661,0.0,15.0
154,True,0.09823731418511408,True,1297.5167539433346,0.3089325604626988,2238.887658022344,0,step_steer_vx15.0_d0.08_ON,5.078549349158985,0.031984976619003555,0.12975167539433347,0.3125361312578149,0.9799999372243476,15.0
0,False,0.0,True,0.0,0.0,2224.89380733803,0,step_steer_vx15.0_d-0.08_OFF,5.825627243256686,0.026944256825112478,0.0,0.4088849797465662,0.0,15.0
154,True,0.09823731418511408,True,1297.5167539433346,0.3089325604626988,2238.887658022344,0,step_steer_vx15.0_d-0.08_ON,5.078549349158985,0.031984976619003555,0.12975167539433347,0.3125361312578149,0.9799999372243476,15.0
0,False,0.0,True,0.0,0.0,2096.2341374665843,0,step_steer_vx25.0_d0.08_OFF,10.97482103972575,0.05666211033111163,0.0,0.4981577954838897,0.0,25.0
159,True,0.13615449944200086,True,1377.6274064437503,0.3280065253437501,2303.9835304388184,0,step_steer_vx25.0_d0.08_ON,6.634992765081117,0.009933260857960466,0.13776274064437502,0.2963882983937958,0.9799996171054022,25.0
0,False,0.0,True,0.0,0.0,2096.2341374665853,0,step_steer_vx25.0_d-0.08_OFF,10.974821039725747,0.05666211033111158,0.0,0.4981577954838898,0.0,25.0
159,True,0.13615449944200092,True,1377.6274064437503,0.3280065253437501,2303.9835304388184,0,step_steer_vx25.0_d-0.08_ON,6.634992765081118,0.009933260857960466,0.13776274064437502,0.2963882983937958,0.9799996171054022,25.0
0,False,0.0,True,0.0,0.0,2414.141207598148,0,step_steer_vx35.0_d0.08_OFF,12.435773772075098,0.17943906529989834,0.0,0.509853526092245,0.0,35.0
161,True,0.14700128320827785,True,1368.7410871657876,0.32589073503947324,2372.7879387741805,0,step_steer_vx35.0_d0.08_ON,8.57911665826935,0.008045631634019276,0.15636028201513053,0.2767853462973624,0.9800006350720171,35.0
0,False,0.0,True,0.0,0.0,2414.141207598148,0,step_steer_vx35.0_d-0.08_OFF,12.435773772075096,0.17943906529989828,0.0,0.509853526092245,0.0,35.0
161,True,0.14700128320827785,True,1368.741087165787,0.32589073503947313,2372.7879387741805,0,step_steer_vx35.0_d-0.08_ON,8.579116658269346,0.008045631634019272,0.15636028201513053,0.2767853462973624,0.9800006350720171,35.0
0,False,0.0,True,0.0,0.0,2596.218386172372,0,sine_vx25.0_A0.05_OFF,8.399158393238913,0.010340380061229159,0.0,0.3698450516783232,0.0,25.0
172,True,0.04554763663082089,True,1231.3920403415002,0.29318858103369055,2858.496951018827,0,sine_vx25.0_A0.05_ON,4.936026684255493,0.008824520118430787,0.12313920403415002,0.2156193090775581,0.9799996171054022,25.0
0,False,0.0,True,0.0,0.0,2040.7628963436196,0,sine_vx25.0_A0.1_OFF,10.600196668723145,0.060931372474467914,0.0,0.5690393387441637,0.0,25.0
199,True,0.15315615348252803,True,1490.062274950197,0.35477673213099936,2376.6887537113544,0,sine_vx25.0_A0.1_ON,7.610055049510719,0.010984629136763627,0.16523079013117206,0.3569734280266506,0.9799996171054022,25.0
0,False,0.0,True,0.0,0.0,2759.7229872545568,0,lane_change_vx25.0_OFF,10.891379052502481,0.07217918599290725,0.0,0.6360943859896115,0.0,25.0
179,True,0.0010394002908969571,True,1986.3393773625776,0.47293794699109,2800.125121500182,0,lane_change_vx25.0_ON,7.930718446965297,0.013336671566861729,0.19863393773625776,0.36226683448699004,0.9799996171054022,25.0
0,False,0.0,True,0.0,0.0,2468.7868986094154,0,lane_change_vx35.0_OFF,12.236890645650812,0.13773293739574546,0.0,0.7282923169129916,0.0,35.0
188,True,0.00028946588973457896,True,1948.3793027195738,0.463899833980851,2927.790836869647,0,lane_change_vx35.0_ON,9.81244238679693,0.019629621689260288,0.22088671947162816,0.3774442964164769,0.9800006350720171,35.0
0,False,0.0,True,0.0,0.0,2278.049894964657,0,corner_vx25.0_d0.04_OFF,7.864211471107612,0.007239101974722374,0.0,0.32295171100845754,0.0,25.0
200,True,0.1055581208476626,True,1228.0821944874392,0.2924005224970094,2443.635601510425,0,corner_vx25.0_d0.04_ON,4.4350926213012025,0.00799667136260889,0.12280821944874393,0.19796468396089467,0.9799996171054022,25.0
0,False,0.0,True,0.0,0.0,2100.0742691636597,0,corner_vx25.0_d0.08_OFF,10.993462538256871,0.058023535051942486,0.0,0.5001369309673912,0.0,25.0
199,True,0.1362394933334083,True,1378.467811026178,0.32820662167289955,2302.643735615624,0,corner_vx25.0_d0.08_ON,6.695194731115062,0.009926170397360472,0.1378467811026178,0.2964325812815891,0.9799996171054022,25.0
0,False,0.0,True,0.0,0.0,2080.4873179913384,0,corner_vx25.0_d0.12_OFF,11.518538866113278,0.1390322535081818,0.0,0.5887543351585106,0.0,25.0
196,True,0.1606407325003593,True,973.4322214982221,0.2317695765471958,2224.5881842767303,0,corner_vx25.0_d0.12_ON,9.053590650799643,0.010072866217512655,0.17573355357236883,0.41362084994844606,0.9799996171054022,25.0
0,False,0.0,True,0.0,0.0,1652.6628350062392,0,brake_vx30.0_OFF,0.0,0.0,0.0,0.0,0.0,30.0
0,True,0.0,True,0.0,0.0,1652.6628350062392,0,brake_vx30.0_ON,0.0,0.0,0.0,0.0,0.9800032475783511,30.0
0,False,0.0,True,0.0,0.0,1623.438035198652,0,brake_steer_vx28.0_OFF,11.123927403818039,1.1083330199110943,0.0,1.5680708717224592,0.0,28.0
0,True,1.4511005269458754,True,0.0,0.0,1623.438035198652,0,brake_steer_vx28.0_ON,11.123927403818039,1.094847524137019,1.4511005269458754,1.5680708717224592,0.9961481494567053,28.0
0,False,0.0,True,0.0,0.0,1430.4991148677923,0,brake_steer_vx28.0_OFF,10.909309384408965,1.0193214646659385,0.0,1.4305007460027641,0.0,28.0
0,True,1.2607701909917672,True,0.0,0.0,1430.4991148677923,0,brake_steer_vx28.0_ON,10.909309384408965,1.00831981560578,1.2607701909917672,1.4305007460027641,0.9965330804132626,28.0
0,False,0.0,True,0.0,0.0,2280.0167729766235,0,step_steer_vx25.0_d0.08_OFF,8.345990224561413,0.15279330006437755,0.0,0.45610934513774726,0.0,25.0
156,True,0.12082996634662224,True,656.2012575313754,0.1562383946503275,2274.6482558981843,0,step_steer_vx25.0_d0.08_ON,6.515914444411317,0.005985919675470256,0.131794237809562,0.2826325112846578,0.9800037038739753,25.0
0,False,0.0,True,0.0,0.0,2280.0167729766235,0,step_steer_vx25.0_d-0.08_OFF,8.345990224561415,0.1527933000643778,0.0,0.4561093451377475,0.0,25.0
156,True,0.1208299663466223,True,656.2012575313754,0.1562383946503275,2274.6482558981843,0,step_steer_vx25.0_d-0.08_ON,6.515914444411315,0.005985919675470256,0.13179423780956195,0.2826325112846577,0.9800037038739753,25.0
0,False,0.0,True,0.0,0.0,2419.5429358114243,0,step_steer_vx25.0_d0.08_OFF,5.5992619601513365,0.0054746377057692235,0.0,0.24554986033702164,0.0,25.0
0,True,0.082134740422206,True,0.0,0.0,2419.5429358114243,0,step_steer_vx25.0_d0.08_ON,5.5992619601513365,0.0054746377057692235,0.09411857264750173,0.24554986033702164,0.9799996399724535,25.0
0,False,0.0,True,0.0,0.0,2148.7761898743465,0,recovery_vx25.0_OFF,10.027265277372473,0.02278743800508317,0.0,0.4466734304331874,0.0,25.0
209,True,0.13019107415043962,True,2230.858889638193,0.5311568784852841,2366.796169832692,0,recovery_vx25.0_ON,8.508572646877605,0.009684218346855466,0.23865931822424766,0.35095731486488413,0.9807561067415543,25.0
0,False,0.0,True,0.0,0.0,2148.7761898743465,0,recovery_vx25.0_OFF,10.027265277372473,0.02278743800508317,0.0,0.4466734304331874,0.0,25.0
209,True,0.13019107415043962,True,2230.858889638193,0.5311568784852841,2366.796169832692,0,recovery_vx25.0_ON,8.508572646877605,0.009684218346855466,0.23865931822424766,0.35095731486488413,0.9807561067415543,25.0
