active_steps,esc_on,final_er,finite,inhibited_any,max_Mz,max_cmd,min_Fz,mz_flips,name,peak_ay,peak_beta,peak_er,peak_r,peak_util,util_peak,vx0
0,False,0.0,True,False,0.0,0.0,2775.4976581387396,0,S01_straight_OFF,0.0,0.0,0.0,0.0,0.0,,25.0
0,True,0.0,True,False,0.0,0.0,2775.4976581387396,0,S01_straight_ON,0.0,0.0,0.0,0.0,0.9799996171054022,,25.0
0,False,0.0,True,,0.0,0.0,2096.2341374665843,0,step_steer_vx25.0_d0.08_OFF,10.97482103972575,0.05666211033111163,0.0,0.4981577954838897,,0.0,25.0
159,True,0.13615449944200086,True,,1377.6274064437503,0.3280065253437501,2303.9835304388184,0,step_steer_vx25.0_d0.08_ON,6.634992765081117,0.009933260857960466,0.13776274064437502,0.2963882983937958,,0.9799996171054022,25.0
0,False,0.0,True,,0.0,0.0,2096.2341374665853,0,step_steer_vx25.0_d-0.08_OFF,10.974821039725747,0.05666211033111158,0.0,0.4981577954838898,,0.0,25.0
159,True,0.13615449944200092,True,,1377.6274064437503,0.3280065253437501,2303.9835304388184,0,step_steer_vx25.0_d-0.08_ON,6.634992765081118,0.009933260857960466,0.13776274064437502,0.2963882983937958,,0.9799996171054022,25.0
0,False,0.0,True,,0.0,0.0,2142.3831843910457,0,sine_vx25.0_A0.08_OFF,9.971953881073457,0.03416212946986379,0.0,0.48603449697887563,,0.0,25.0
190,True,0.13651050556883773,True,,1400.7973893923784,0.33352318795056635,2368.108337328321,0,sine_vx25.0_A0.08_ON,6.406854299570842,0.010642615894939261,0.14007973893923784,0.29696639510018846,,0.9799996171054022,25.0
0,False,0.0,True,,0.0,0.0,2759.7229872545568,0,lane_change_vx25.0_OFF,10.891379052502481,0.07217918599290725,0.0,0.6360943859896115,,0.0,25.0
179,True,0.0010394002908969571,True,,1986.3393773625776,0.47293794699109,2800.125121500182,0,lane_change_vx25.0_ON,7.930718446965297,0.013336671566861729,0.19863393773625776,0.36226683448699004,,0.9799996171054022,25.0
0,False,0.0,True,,0.0,0.0,2100.0742691636597,0,corner_vx25.0_d0.08_OFF,10.993462538256871,0.058023535051942486,0.0,0.5001369309673912,,0.0,25.0
199,True,0.1362394933334083,True,,1378.467811026178,0.32820662167289955,2302.643735615624,0,corner_vx25.0_d0.08_ON,6.695194731115062,0.009926170397360472,0.1378467811026178,0.2964325812815891,,0.9799996171054022,25.0
0,False,0.0,True,False,0.0,0.0,2036.066927494343,0,S06_prog_sat_OFF,11.561091153027114,0.13159322426841288,0.0,0.5997134591441549,0.0,,25.0
189,True,0.1615403080003645,True,False,1252.1439395784046,0.2981295094234297,2048.513835253434,0,S06_prog_sat_ON,10.657842569013646,0.027454248747707043,0.17187349988411088,0.5276172535466938,0.9799996171054022,,25.0
0,False,0.0,True,,0.0,0.0,1652.6628350062392,0,brake_vx30.0_OFF,0.0,0.0,0.0,0.0,,0.0,30.0
0,True,0.0,True,,0.0,0.0,1652.6628350062392,0,brake_vx30.0_ON,0.0,0.0,0.0,0.0,,0.9800032475783511,30.0
0,False,0.0,True,,0.0,0.0,1523.9462688415142,0,brake_steer_vx28.0_OFF,10.92560807700717,1.132833563721383,0.0,1.5079603038392093,,0.0,28.0
0,True,1.3711953644494523,True,,0.0,0.0,1523.9462688415142,0,brake_steer_vx28.0_ON,10.92560807700717,1.119361936457463,1.3711953644494523,1.5079603038392093,,0.996590895113857,28.0
0,False,0.0,True,False,0.0,0.0,1773.5914506303222,0,S09_split_brake_OFF,6.5101239985165895,0.6426263689497105,0.0,1.302290572439813,0.0,,30.0
0,True,1.2918041794752115,True,True,0.0,0.0,1773.5914506303222,0,S09_split_brake_ON,6.5101239985165895,0.6305415829515645,1.2918041794752115,1.302290572439813,0.9952695519335216,,30.0
0,False,0.0,True,,0.0,0.0,2280.0167729766235,0,step_steer_vx25.0_d0.08_OFF,8.345990224561413,0.15279330006437755,0.0,0.45610934513774726,,0.0,25.0
156,True,0.12082996634662224,True,,656.2012575313754,0.1562383946503275,2274.6482558981843,0,step_steer_vx25.0_d0.08_ON,6.515914444411317,0.005985919675470256,0.131794237809562,0.2826325112846578,,0.9800037038739753,25.0
0,False,0.0,True,False,0.0,0.0,0.0,0,S11_12_mu_hl_OFF,0.0,0.0,0.0,0.557893323815961,0.0,,25.0
38,True,0.0,True,False,1093.6460903694594,0.26039192627844276,0.0,0,S11_12_mu_hl_ON,0.0,0.0,0.1473635215009318,0.3371754374600727,0.0,,25.0
0,False,0.0,True,False,0.0,0.0,0.0,0,S11_12_mu_lh_OFF,0.0,0.0,0.0,0.5717778094395075,0.0,,25.0
116,True,0.0,True,False,1047.4475305991248,0.24939226919026786,0.0,0,S11_12_mu_lh_ON,0.0,0.0,0.13160109005156123,0.329472957835186,0.0,,25.0
0,False,0.0,True,False,0.0,0.0,2105.4995402690543,0,S13_reversal_OFF,11.915203727433601,0.17789953765501165,0.0,0.82476585746524,0.0,,28.0
160,True,0.1615115890094029,True,False,2132.949615117267,0.5078451464564921,2208.7159754896534,0,S13_reversal_ON,9.789033058414605,0.01797420315509144,0.21533622068106034,0.42406459761507376,0.9799996171054022,,28.0
0,False,0.0,True,,0.0,0.0,2148.7761898743465,0,recovery_vx25.0_OFF,10.027265277372473,0.02278743800508317,0.0,0.4466734304331874,,0.0,25.0
209,True,0.13019107415043962,True,,2230.858889638193,0.5311568784852841,2366.796169832692,0,recovery_vx25.0_ON,8.508572646877605,0.009684218346855466,0.23865931822424766,0.35095731486488413,,0.9807561067415543,25.0
0,False,0.0,True,False,0.0,0.0,2150.806171296619,0,S15_impulse_OFF,10.004870337728947,0.022331096771656032,0.0,0.4466734304331874,0.0,,25.0
169,True,0.12996089849252904,True,True,2230.858889638193,0.5311568784852841,2368.0539211624423,0,S15_impulse_ON,8.508572646877605,0.009684218346855466,0.23865931822424766,0.35095731486488413,0.9807561067415543,,25.0
0,False,0.0,True,False,0.0,0.0,1931.2965402745795,0,S16_hiutil_OFF,11.416625273798187,0.18793445398185007,0.0,0.7049646598679041,0.0,,28.0
62,True,0.3618143674033544,True,True,248.38540218857375,0.05913938147346995,1887.910890394097,0,S16_hiutil_ON,11.358972659974896,0.17543628190548202,0.489743035729148,0.7022714053394243,0.9914682459951598,,28.0
82,True,0.32352130508960464,True,True,248.38540218857375,0.05913938147346995,1874.4729169269176,0,S17_inhibit_rec_ON,11.358972659974896,0.17543628190548202,0.489743035729148,0.7022714053394243,0.9914682459951598,,28.0
0,False,0,True,False,0.0,0.0,0,0,S18_unavailable,0,0,0,0.50632295240871,0,,25.0
86,True,0.14363408670727787,True,False,916.1501352717643,0.21813098458851535,1976.8778954024244,0,S19_reduced_auth_ON,8.79137936603792,0.011125272295824397,0.162621194478734,0.39143678916090413,0.9799996171054022,,25.0
0,False,0.0,True,,0.0,0.0,2441.368006065829,0,step_steer_vx25.0_d0.1_OFF,6.440981560656143,0.2990638277716054,0.0,0.5840297974524605,,0.0,25.0
22,True,0.3816929109609695,True,,34.402844868762415,0.00819115354018153,2437.921768364183,0,step_steer_vx25.0_d0.1_ON,6.438311670309997,0.28806144421875385,0.3816929109609695,0.5772699825832596,,0.9962930099239494,25.0
