K_Mz,Mz_dist,brake_energy,e0,e_final,e_peak,e_reduction,max_Mz,max_cmd,mu_mode,mz_flips,note,sat_fraction,settle_s,sign,steer,surface,util_peak,vx0
12000.0,5000.0,0.009766680842571577,0.6192540085188092,1.75321043207286,0.9539640433452073,-1.133956423554051,144.8857328838219,0.034496603067576646,nominal,0,,0.0,,1.0,0.06,nominal,0.9965367132498001,15.0
12000.0,-7000.0,0.017742104748825108,0.1559101847342613,0.11661876141572422,0.1717948166712203,0.03929142331853708,366.7169431391917,0.08731355789028375,nominal,0,,0.0,0.17,-1.0,0.06,nominal,0.9819622392569052,15.0
12000.0,7000.0,0.009766680842571577,0.6192540085188092,1.75321043207286,0.9539640433452073,-1.133956423554051,144.8857328838219,0.034496603067576646,nominal,0,,0.0,,1.0,0.06,nominal,0.9965367132498001,15.0
12000.0,-1500.0,0.7020804560780682,0.0025241163223577584,0.09453744008002352,0.1275007476735102,-0.09201332375766576,1530.0089720821222,0.3642878504957434,nominal,0,,0.0,,-1.0,0.06,nominal,0.8670511072069352,25.0
12000.0,1500.0,0.0,1.0018226412862903,1.801885161426476,1.3065333585394827,-0.8000625201401856,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.99699496413082,25.0
12000.0,-3000.0,0.5951827391610242,0.21000430533454856,0.09161224640285925,0.24740249988476043,0.1183920589316893,1515.3149692583688,0.36078927839484976,nominal,0,,0.0,,-1.0,0.06,nominal,0.9800564079188426,25.0
12000.0,3000.0,0.0,0.9492083380560775,1.8439689621173279,1.3287828329404618,-0.8947606240612503,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9970138177999275,25.0
12000.0,-5000.0,0.5951827391610242,0.21000430533454856,0.09161224640285925,0.24740249988476043,0.1183920589316893,1515.3149692583688,0.36078927839484976,nominal,0,,0.0,,-1.0,0.06,nominal,0.9800564079188426,25.0
12000.0,5000.0,0.0,0.9492083380560775,1.8439689621173279,1.3287828329404618,-0.8947606240612503,0.0,0.0,nominal,0,,0.0,,1.0,0.06,nominal,0.9970138177999275,25.0
12000.0,-7000.0,0.5951827391610242,0.21000430533454856,0.09161224640285925,0.24740249988476043,0.1183920589316893,1515.3149692583688,0.36078927839484976,nominal,0,,0.0,,-1.0,0.06,nominal,0.9800564079188426,25.0
